marker_number	marker_ID	chromosome_BroadS1	position_BroadS1	chromosome_reassembled	position_reassembled	cM	Reassembly_information
1	chrI_241608	1	241608	1	241608	0	congruent
2	chrI_612298	1	612298	1	612298	0.0000001	congruent
3	chrI_715797	1	715797	1	715797	0.0000002	congruent
4	chrI_956634	1	956634	1	956634	0.711856	congruent
5	chrI_983330	1	983330	1	983330	0.7118561	congruent
6	chrI_1190613	1	1190613	1	1190613	1.665939	congruent
7	chrI_1236417	1	1236417	1	1236417	1.6659391	congruent
8	chrI_1330208	1	1330208	1	1330208	2.1626602	congruent
9	chrI_1391915	1	1391915	1	1391915	3.4076482	congruent
10	chrI_1464000	1	1464000	1	1464000	3.6214473	congruent
11	chrI_1911436	1	1911436	1	1911436	12.4296183	congruent
12	chrI_1913462	1	1913462	1	1913462	12.9301635	congruent
13	chrI_2092038	1	2092038	1	2092038	14.5022937	congruent
14	chrI_2169783	1	2169783	1	2169783	16.1879503	congruent
15	chrI_2354812	1	2354812	1	2354812	18.4431972	congruent
16	chrI_2363639	1	2363639	1	2363639	18.4431973	congruent
17	chrI_2544241	1	2544241	1	2544241	21.1405559	congruent
18	chrI_2551672	1	2551672	1	2551672	21.495669	congruent
19	chrI_2575287	1	2575287	1	2575287	21.8509028	congruent
20	chrI_2589721	1	2589721	1	2589721	21.8509029	congruent
21	chrI_2659117	1	2659117	1	2659117	23.3412851	congruent
22	chrI_2884565	1	2884565	1	2884565	26.1587829	congruent
23	chrI_3037319	1	3037319	1	3037319	26.158783	congruent
24	chrI_3100967	1	3100967	1	3100967	26.514014	congruent
25	chrI_3152276	1	3152276	1	3152276	26.5140141	congruent
26	chrI_4319658	1	4319658	1	4319658	34.7876065	congruent
27	chrI_4335072	1	4335072	1	4335072	35.2134242	congruent
28	chrI_6301896	1	6301896	1	6301896	41.6702348	congruent
29	chrI_6550219	1	6550219	1	6550219	42.0430142	congruent
30	chrI_6596684	1	6596684	1	6596684	42.4066992	congruent
31	chrI_7132319	1	7132319	1	7132319	42.5883396	congruent
32	chrI_7435267	1	7435267	1	7435267	42.7658132	congruent
33	chrI_7469158	1	7469158	1	7469158	42.7658133	congruent
34	chrI_7604030	1	7604030	1	7604030	42.9432771	congruent
35	chrI_7937619	1	7937619	1	7937619	43.2985712	congruent
36	chrI_8131876	1	8131876	1	8131876	43.2985713	congruent
37	chrI_9359659	1	9359659	1	9359659	44.9087195	congruent
